,id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x,team_strength_rank,opponent_strength_rank,opponent_strength_overall,opponent_strength_attack,opponent_strength_defence
165,127,Aaron Connolly,45,FWD,Burnley,Brighton,2024-04-13T14:00:00Z,False,Brighton,9,19,1045,1050,1040
776,530,Aaron Cresswell,42,DEF,West Ham,Fulham,2024-04-14T13:00:00Z,True,West Ham,10,11,1175,1180,1170
132,104,Aaron Hickey,43,DEF,Brentford,Sheffield Utd,2024-04-13T14:00:00Z,True,Brentford,13,20,1040,1020,1060
15,17,Aaron Ramsdale,45,GKP,Arsenal,Aston Villa,2024-04-14T15:30:00Z,True,Arsenal,2,4,1285,1220,1350
246,675,Aaron Ramsey,50,MID,Burnley,Brighton,2024-04-13T14:00:00Z,True,Burnley,19,9,1210,1180,1240
566,401,Aaron Wan-Bissaka,44,DEF,Bournemouth,Man Utd,2024-04-13T16:30:00Z,False,Man Utd,7,12,1100,1055,1145
350,249,Abdoulaye Doucouré,55,MID,Chelsea,Everton,2024-04-15T19:00:00Z,False,Everton,15,8,1125,1080,1170
258,190,Abdul Rahman Baba,40,DEF,Chelsea,Everton,2024-04-15T19:00:00Z,True,Chelsea,8,15,1100,1125,1080
693,479,Adam Davies,40,GKP,Brentford,Sheffield Utd,2024-04-13T14:00:00Z,False,Sheffield Utd,20,13,1100,1110,1090
176,138,Adam Lallana,49,MID,Burnley,Brighton,2024-04-13T14:00:00Z,False,Brighton,9,19,1045,1050,1040
101,84,Adam Smith,44,DEF,Bournemouth,Man Utd,2024-04-13T16:30:00Z,True,Bournemouth,12,7,1220,1210,1230
190,153,Adam Webster,42,DEF,Burnley,Brighton,2024-04-13T14:00:00Z,False,Brighton,9,19,1045,1050,1040
341,807,Adam Wharton,50,MID,Liverpool,Crystal Palace,2024-04-14T13:00:00Z,False,Crystal Palace,16,3,1240,1210,1270
408,662,Adama Traoré,49,MID,West Ham,Fulham,2024-04-14T13:00:00Z,False,Fulham,11,10,1100,1055,1150
336,720,Ademola Ola-Adebomi,45,FWD,Liverpool,Crystal Palace,2024-04-14T13:00:00Z,False,Crystal Palace,16,3,1240,1210,1270
473,327,Admiral Muskwe,45,FWD,Man City,Luton,2024-04-13T14:00:00Z,False,Luton,18,1,1355,1350,1360
416,289,Adrián San Miguel del Castillo,39,GKP,Liverpool,Crystal Palace,2024-04-14T13:00:00Z,True,Liverpool,3,16,1100,1120,1085
496,648,Aidan Francis-Clarke,40,DEF,Man City,Luton,2024-04-13T14:00:00Z,False,Luton,18,1,1355,1350,1360
458,21,Albert Sambi Lokonga,49,MID,Man City,Luton,2024-04-13T14:00:00Z,False,Luton,18,1,1355,1350,1360
549,382,Alejandro Garnacho,50,MID,Bournemouth,Man Utd,2024-04-13T16:30:00Z,False,Man Utd,7,12,1100,1055,1145
760,641,Alejo Véliz,54,FWD,Newcastle,Spurs,2024-04-13T11:30:00Z,False,Spurs,5,6,1105,1050,1160
391,278,Aleksandar Mitrović,74,FWD,West Ham,Fulham,2024-04-14T13:00:00Z,False,Fulham,11,10,1100,1055,1150
379,256,Alex Iwobi,53,MID,West Ham,Fulham,2024-04-14T13:00:00Z,False,Fulham,11,10,1100,1055,1150
297,718,Alex Matos,45,MID,Chelsea,Everton,2024-04-15T19:00:00Z,True,Chelsea,8,15,1100,1125,1080
651,456,Alex Mighten,44,MID,Nott'm Forest,Wolves,2024-04-13T14:00:00Z,True,Nott'm Forest,17,14,1100,1105,1100
