,total_points,total_pointsALL,minutesALL,goals_concededALL,influenceALL,bonusALL,bpsALL,ict_indexALL,clean_sheetsALL,red_cardsALL,yellow_cardsALL,now_costALL,GW,opponent_strength_overall,opponent_strength_attack,AV_bonus_past5,AV_bps_past5,AV_clean_sheets_past5,AV_goals_conceded_past5,AV_ict_index_past5,AV_influence_past5,AV_minutes_past5,AV_penalties_saved_past5,AV_saves_past5,AV_total_points_past5,AV_value_past5,team_strength_rank,opponent_strength_rank
30625,1,42,1530,28,379.6,0,281,37.9,2,0,1,38,6,1355,1350,0.0,5.0,0.0,0.6,0.54,5.48,36.0,0.0,1.0,0.8,39.8,17,1
30626,0,42,1530,28,379.6,0,281,37.9,2,0,1,38,14,1100,1125,0.0,5.0,0.0,0.6,0.54,5.48,36.0,0.0,1.0,0.8,39.8,17,15
30627,3,42,1530,28,379.6,0,281,37.9,2,0,1,38,3,1125,1130,0.0,6.8,0.0,1.0,0.96,9.72,36.0,0.0,1.8,0.8,39.8,17,7
30628,3,42,1530,28,379.6,0,281,37.9,2,0,1,38,19,1105,1050,0.0,11.4,0.0,1.2,1.86,18.8,54.0,0.0,2.8,1.4,39.8,17,6
30629,2,42,1530,28,379.6,0,281,37.9,2,0,1,38,5,1050,1050,0.0,14.4,0.0,1.4,2.1,21.16,72.0,0.0,3.2,1.8,40.0,17,19
30630,0,42,1530,28,379.6,0,281,37.9,2,0,1,38,11,1285,1220,0.0,12.2,0.0,1.0,1.92,19.32,54.0,0.0,2.8,1.6,40.2,17,4
30631,0,42,1530,28,379.6,0,281,37.9,2,0,1,38,15,1055,1050,0.0,12.2,0.0,1.0,1.92,19.32,54.0,0.0,2.8,1.6,40.0,17,11
30632,2,42,1530,28,379.6,0,281,37.9,2,0,1,38,1,1350,1370,0.0,11.6,0.0,0.8,1.74,17.44,54.0,0.0,2.4,1.4,40.0,17,2
30633,1,42,1530,28,379.6,0,281,37.9,2,0,1,38,21,1100,1110,0.0,9.6,0.0,1.2,1.2,11.92,54.0,0.0,1.8,1.0,40.0,17,13
30634,0,42,1530,28,379.6,0,281,37.9,2,0,1,38,28,1100,1070,0.0,6.6,0.0,1.0,0.96,9.56,36.0,0.0,1.4,0.6,39.8,17,9
30635,0,42,1530,28,379.6,0,281,37.9,2,0,1,38,27,1370,1350,0.0,6.6,0.0,1.0,0.96,9.56,36.0,0.0,1.4,0.6,39.4,17,3
30636,0,42,1530,28,379.6,0,281,37.9,2,0,1,38,29,1055,1020,0.0,6.6,0.0,1.0,0.96,9.56,36.0,0.0,1.4,0.6,39.2,17,18
30637,0,42,1530,28,379.6,0,281,37.9,2,0,1,38,26,1160,1140,0.0,2.6,0.0,0.6,0.36,3.56,18.0,0.0,0.4,0.2,39.0,17,4
30638,2,42,1530,28,379.6,0,281,37.9,2,0,1,38,2,1040,1020,0.0,2.6,0.0,0.2,0.32,3.28,18.0,0.0,0.4,0.4,39.2,17,20
30639,0,42,1530,28,379.6,0,281,37.9,2,0,1,38,12,1100,1055,0.0,2.6,0.0,0.2,0.32,3.28,18.0,0.0,0.4,0.4,39.6,17,10
30640,5,42,1530,28,379.6,0,281,37.9,2,0,1,38,4,1125,1080,0.0,7.0,0.2,0.2,0.6,6.0,36.0,0.0,0.8,1.4,39.8,17,8
30641,3,42,1530,28,379.6,0,281,37.9,2,0,1,38,20,1220,1210,0.0,9.8,0.2,0.4,1.08,10.8,54.0,0.0,1.6,2.0,39.8,17,7
30642,3,42,1530,28,379.6,0,281,37.9,2,0,1,38,16,1100,1085,0.0,12.6,0.2,0.6,1.52,15.2,72.0,0.0,2.2,2.6,40.0,17,14
30643,6,42,1530,28,379.6,0,281,37.9,2,0,1,38,8,1070,1080,0.0,15.0,0.4,0.4,1.54,15.28,72.0,0.0,2.2,3.4,40.0,17,16
30644,1,42,1530,28,379.6,0,281,37.9,2,0,1,38,22,1365,1370,0.0,17.2,0.4,0.8,1.84,18.2,90.0,0.0,2.6,3.6,39.6,17,2
30747,1,20,720,12,125.8,1,103,12.6,1,0,1,45,24,1280,1210,0.0,12.0,0.0,3.0,1.4,14.0,90.0,0.0,2.0,1.0,45.0,17,6
30748,2,20,720,12,125.8,1,103,12.6,1,0,1,45,29,1055,1020,0.0,12.0,0.0,2.0,1.65,16.3,90.0,0.0,2.5,1.5,45.0,17,18
30749,2,20,720,12,125.8,1,103,12.6,1,0,1,45,27,1370,1350,0.0,11.0,0.0,1.67,1.3,12.93,90.0,0.0,2.0,1.67,45.0,17,3
30750,3,20,720,12,125.8,1,103,12.6,1,0,1,45,28,1100,1070,0.0,11.75,0.0,1.5,1.58,15.6,90.0,0.0,2.25,2.0,45.0,17,9
30751,2,20,720,12,125.8,1,103,12.6,1,0,1,45,23,1100,1055,0.0,11.0,0.0,1.4,1.32,13.08,90.0,0.0,1.8,2.0,45.0,17,12
30752,0,20,720,12,125.8,1,103,12.6,1,0,1,45,26,1160,1140,0.0,10.8,0.0,1.6,1.42,14.12,90.0,0.0,1.8,1.8,45.0,17,4
30753,8,20,720,12,125.8,1,103,12.6,1,0,1,45,25,1145,1140,0.2,13.6,0.2,1.4,1.48,14.76,90.0,0.0,1.8,3.0,45.0,17,10
31679,7,56,1255,14,297.4,1,268,30.1,6,0,0,53,9,1100,1120,0.0,5.4,0.2,0.0,0.42,4.28,18.0,0.0,0.6,1.4,53.8,6,16
31680,2,56,1255,14,297.4,1,268,30.1,6,0,0,53,4,1100,1070,0.0,8.0,0.2,0.6,0.8,8.04,36.0,0.0,1.4,1.8,54.0,6,9
31681,3,56,1255,14,297.4,1,268,30.1,6,0,0,53,13,1190,1150,0.0,10.4,0.2,0.8,1.18,11.8,54.0,0.0,2.0,2.4,54.4,6,8
31682,3,56,1255,14,297.4,1,268,30.1,6,0,0,53,2,1355,1350,0.0,13.2,0.2,1.0,1.76,17.56,72.0,0.0,2.6,3.0,54.6,6,1
31683,6,56,1255,14,297.4,1,268,30.1,6,0,0,53,5,1100,1055,0.0,18.2,0.4,1.0,2.12,21.2,90.0,0.0,3.0,4.2,55.0,6,13
31684,6,56,1255,14,297.4,1,268,30.1,6,0,0,53,7,1050,1050,0.0,17.6,0.4,1.0,2.08,20.72,90.0,0.0,2.8,4.0,55.0,6,19
31685,2,56,1255,14,297.4,1,268,30.1,6,0,0,53,10,1100,1085,0.0,18.4,0.4,0.8,2.28,22.8,90.0,0.0,2.8,4.0,55.0,6,14
31686,3,56,1255,14,297.4,1,268,30.1,6,0,0,53,1,1285,1220,0.0,19.6,0.4,0.8,2.58,25.8,90.0,0.0,3.2,4.0,55.0,6,4
31687,0,56,1255,14,297.4,1,268,30.1,6,0,0,53,27,1100,1105,0.0,16.8,0.4,0.6,2.0,20.04,72.0,0.0,2.6,3.4,54.6,6,14
31688,0,56,1255,14,297.4,1,268,30.1,6,0,0,53,26,1350,1370,0.0,11.8,0.2,0.6,1.64,16.4,54.0,0.0,2.2,2.2,54.2,6,2
31689,1,56,1255,14,297.4,1,268,30.1,6,0,0,53,8,1100,1055,0.0,9.6,0.0,1.0,1.48,14.76,54.0,0.0,2.0,1.2,54.2,6,10
31690,0,56,1255,14,297.4,1,268,30.1,6,0,0,53,25,1100,1130,0.0,6.2,0.0,0.6,0.9,8.92,36.0,0.0,1.2,0.8,53.8,6,12
31691,6,56,1255,14,297.4,1,268,30.1,6,0,0,53,6,1030,1045,0.0,7.4,0.2,0.4,0.36,3.6,36.0,0.0,0.4,1.4,53.8,6,20
31692,0,56,1255,14,297.4,1,268,30.1,6,0,0,53,18,1055,1020,0.0,7.4,0.2,0.4,0.36,3.6,36.0,0.0,0.4,1.4,54.0,6,18
31693,6,56,1255,14,297.4,1,268,30.1,6,0,0,53,14,1220,1210,0.0,11.4,0.4,0.4,0.54,5.44,53.0,0.0,0.6,2.6,54.4,6,7
31694,0,56,1255,14,297.4,1,268,30.1,6,0,0,53,19,1100,1125,0.0,8.8,0.4,0.0,0.32,3.28,35.0,0.0,0.4,2.4,54.2,6,17
31695,0,56,1255,14,297.4,1,268,30.1,6,0,0,53,22,1160,1140,0.0,8.8,0.4,0.0,0.32,3.28,35.0,0.0,0.4,2.4,54.2,6,4
31696,0,56,1255,14,297.4,1,268,30.1,6,0,0,53,20,1240,1210,0.0,4.0,0.2,0.0,0.18,1.84,17.0,0.0,0.2,1.2,54.0,6,3
31697,1,56,1255,14,297.4,1,268,30.1,6,0,0,53,3,1370,1350,0.0,6.8,0.2,0.4,0.62,5.4,35.0,0.0,0.6,1.4,54.2,6,3
31698,0,56,1255,14,297.4,1,268,30.1,6,0,0,53,28,1125,1080,0.0,2.8,0.0,0.4,0.44,3.56,18.0,0.0,0.4,0.2,53.8,6,8
31699,6,56,1255,14,297.4,1,268,30.1,6,0,0,53,11,1365,1370,0.0,7.0,0.2,0.4,0.64,5.56,36.0,0.0,0.6,1.4,54.0,6,2
31700,0,56,1255,14,297.4,1,268,30.1,6,0,0,53,15,1095,1125,0.0,7.0,0.2,0.4,0.64,5.56,36.0,0.0,0.6,1.4,54.4,6,15
31701,4,56,1255,14,297.4,1,268,30.1,6,0,0,53,12,1100,1055,0.2,12.2,0.2,0.8,1.72,16.44,54.0,0.0,2.2,2.2,54.6,6,12
31702,0,56,1255,14,297.4,1,268,30.1,6,0,0,53,21,1365,1360,0.2,9.4,0.2,0.4,1.28,12.88,36.0,0.0,1.8,2.0,54.2,6,1
31789,8,96,2430,46,755.6,12,511,75.6,6,0,4,47,27,1045,1050,1.0,29.0,1.0,0.0,3.4,34.0,90.0,0.0,5.0,8.0,46.0,12,19
31790,2,96,2430,46,755.6,12,511,75.6,6,0,4,47,25,1105,1050,0.5,23.0,0.5,1.0,2.7,27.0,90.0,0.0,4.5,5.0,46.0,12,6
31791,1,96,2430,46,755.6,12,511,75.6,6,0,4,47,4,1100,1110,0.33,20.33,0.33,1.33,3.27,32.67,90.0,0.0,4.67,3.67,45.67,12,13
31792,2,96,2430,46,755.6,12,511,75.6,6,0,4,47,1,1145,1140,0.25,18.0,0.25,1.25,2.8,28.0,90.0,0.0,3.75,3.25,45.5,12,10
31793,1,96,2430,46,755.6,12,511,75.6,6,0,4,47,18,1065,1050,0.2,17.2,0.2,1.4,2.66,26.64,90.0,0.0,3.4,2.8,45.6,12,17
31794,0,96,2430,46,755.6,12,511,75.6,6,0,4,47,11,1355,1350,0.0,11.4,0.0,1.4,1.98,19.84,72.0,0.0,2.4,1.2,45.4,12,1
31795,2,96,2430,46,755.6,12,511,75.6,6,0,4,47,3,1230,1150,0.0,11.0,0.0,1.4,2.08,20.8,72.0,0.0,2.4,1.2,45.2,12,5
31796,8,96,2430,46,755.6,12,511,75.6,6,0,4,47,15,1070,1080,0.2,13.4,0.2,1.0,1.68,16.76,72.0,0.0,2.0,2.6,45.2,12,16
31797,10,96,2430,46,755.6,12,511,75.6,6,0,4,47,5,1190,1150,0.6,17.6,0.4,0.8,2.22,22.08,72.0,0.0,3.0,4.2,45.2,12,8
31798,9,96,2430,46,755.6,12,511,75.6,6,0,4,47,19,1175,1180,1.0,20.4,0.6,0.4,2.22,21.96,72.0,0.0,3.2,5.8,45.2,12,11
31799,7,96,2430,46,755.6,12,511,75.6,6,0,4,47,16,1125,1130,1.0,25.8,0.8,0.4,2.66,26.44,90.0,0.0,3.8,7.2,45.2,12,7
31800,1,96,2430,46,755.6,12,511,75.6,6,0,4,47,6,1100,1070,1.0,25.2,0.8,0.6,2.38,23.6,90.0,0.0,3.4,7.0,45.2,12,9
31801,10,96,2430,46,755.6,12,511,75.6,6,0,4,47,2,1240,1210,1.4,27.2,0.6,1.2,3.3,32.92,90.0,0.2,4.4,7.4,45.2,12,3
31802,3,96,2430,46,755.6,12,511,75.6,6,0,4,47,28,1040,1020,1.0,25.6,0.4,1.6,3.66,36.56,90.0,0.2,4.6,6.0,45.6,12,20
31803,1,96,2430,46,755.6,12,511,75.6,6,0,4,47,28,1090,1060,0.6,22.2,0.2,2.2,3.46,34.6,90.0,0.2,4.2,4.4,45.8,12,18
31804,0,96,2430,46,755.6,12,511,75.6,6,0,4,47,10,1050,1050,0.6,16.8,0.0,2.2,3.02,30.12,72.0,0.2,3.6,3.0,45.8,12,19
31805,2,96,2430,46,755.6,12,511,75.6,6,0,4,47,13,1030,1045,0.6,16.4,0.0,1.8,3.04,30.4,72.0,0.2,3.4,3.2,45.8,12,20
31806,2,96,2430,46,755.6,12,511,75.6,6,0,4,47,24,1055,1050,0.0,12.4,0.0,1.8,2.18,21.8,72.0,0.0,2.6,1.6,46.0,12,11
31807,1,96,2430,46,755.6,12,511,75.6,6,0,4,47,7,1365,1370,0.0,10.8,0.0,2.2,1.72,17.2,72.0,0.0,2.0,1.2,45.6,12,2
31808,1,96,2430,46,755.6,12,511,75.6,6,0,4,47,8,1095,1125,0.0,12.4,0.0,2.2,2.32,23.28,72.0,0.0,2.8,1.2,45.2,12,15
31809,3,96,2430,46,755.6,12,511,75.6,6,0,4,47,23,1100,1125,0.2,15.8,0.0,2.4,3.02,30.24,90.0,0.0,3.8,1.8,45.4,12,17
31810,3,96,2430,46,755.6,12,511,75.6,6,0,4,47,26,1365,1360,0.2,18.0,0.0,2.4,3.6,35.96,90.0,0.0,4.6,2.0,45.6,12,1
31811,2,96,2430,46,755.6,12,511,75.6,6,0,4,47,9,1100,1105,0.2,18.6,0.0,2.2,3.68,36.6,90.0,0.0,4.8,2.0,45.4,12,14
31812,2,96,2430,46,755.6,12,511,75.6,6,0,4,47,20,1170,1110,0.2,18.2,0.0,2.0,3.4,33.92,90.0,0.0,4.6,2.2,45.6,12,5
31813,2,96,2430,46,755.6,12,511,75.6,6,0,4,47,22,1100,1055,0.2,16.8,0.0,1.6,2.9,28.96,90.0,0.0,4.0,2.4,45.8,12,10
31814,9,96,2430,46,755.6,12,511,75.6,6,0,4,47,12,1280,1210,0.4,19.6,0.2,1.4,2.82,28.12,90.0,0.0,4.0,3.6,45.6,12,6
31815,1,96,2430,46,755.6,12,511,75.6,6,0,4,47,14,1285,1220,0.4,17.4,0.2,1.6,2.3,23.0,90.0,0.0,3.2,3.2,45.4,12,4
31816,1,96,2430,46,755.6,12,511,75.6,6,0,4,47,21,1370,1350,0.4,16.2,0.2,2.0,2.04,20.56,90.0,0.0,2.8,3.0,45.6,12,3
31875,2,12,450,12,101.8,0,79,11.2,1,0,0,45,12,1100,1055,0.0,9.5,0.0,1.5,2.05,15.4,45.0,0.0,1.5,1.0,45.0,17,10
31876,0,12,450,12,101.8,0,79,11.2,1,0,0,45,24,1280,1210,0.0,6.33,0.0,1.0,1.37,10.27,30.0,0.0,1.0,0.67,45.0,17,6
31877,1,12,450,12,101.8,0,79,11.2,1,0,0,45,13,1210,1180,0.0,7.5,0.0,1.5,1.52,12.75,45.0,0.0,1.25,0.75,45.0,17,9
31878,0,12,450,12,101.8,0,79,11.2,1,0,0,45,5,1050,1050,0.0,6.0,0.0,1.2,1.22,10.2,36.0,0.0,1.0,0.6,45.0,17,19
31879,0,12,450,12,101.8,0,79,11.2,1,0,0,45,6,1355,1350,0.0,6.0,0.0,1.2,1.22,10.2,36.0,0.0,1.0,0.6,45.0,17,1
31880,7,12,450,12,101.8,0,79,11.2,1,0,0,45,11,1285,1220,0.0,7.6,0.2,0.6,0.94,9.4,36.0,0.0,1.0,1.6,45.0,17,4
31881,0,12,450,12,101.8,0,79,11.2,1,0,0,45,21,1100,1110,0.0,7.6,0.2,0.6,0.94,9.4,36.0,0.0,1.0,1.6,45.0,17,13
31882,2,12,450,12,101.8,0,79,11.2,1,0,0,45,14,1100,1125,0.0,8.0,0.2,0.2,0.76,7.52,36.0,0.0,0.8,1.8,45.0,17,15
31883,0,12,450,12,101.8,0,79,11.2,1,0,0,45,29,1055,1020,0.0,8.0,0.2,0.2,0.76,7.52,36.0,0.0,0.8,1.8,45.0,17,18
31884,0,12,450,12,101.8,0,79,11.2,1,0,0,45,7,1100,1055,0.0,8.0,0.2,0.2,0.76,7.52,36.0,0.0,0.8,1.8,45.0,17,13
31885,0,12,450,12,101.8,0,79,11.2,1,0,0,45,20,1220,1210,0.0,2.6,0.0,0.2,0.22,2.16,18.0,0.0,0.2,0.4,45.0,17,7
31886,0,12,450,12,101.8,0,79,11.2,1,0,0,45,8,1070,1080,0.0,2.6,0.0,0.2,0.22,2.16,18.0,0.0,0.2,0.4,45.0,17,16
31887,0,12,450,12,101.8,0,79,11.2,1,0,0,45,15,1055,1050,0.0,1.8,0.0,1.0,0.26,2.64,18.0,0.0,0.2,0.0,45.0,17,11
31888,0,12,450,12,101.8,0,79,11.2,1,0,0,45,16,1100,1085,0.0,1.8,0.0,1.0,0.26,2.64,18.0,0.0,0.2,0.0,45.0,17,14
31889,0,12,450,12,101.8,0,79,11.2,1,0,0,45,19,1105,1050,0.0,1.8,0.0,1.0,0.26,2.64,18.0,0.0,0.2,0.0,45.0,17,6
31890,0,12,450,12,101.8,0,79,11.2,1,0,0,45,9,1090,1060,0.0,1.8,0.0,1.0,0.26,2.64,18.0,0.0,0.2,0.0,45.0,17,18
31891,0,12,450,12,101.8,0,79,11.2,1,0,0,45,25,1145,1140,0.0,1.8,0.0,1.0,0.26,2.64,18.0,0.0,0.2,0.0,45.0,17,10
32762,1,1,3,1,1.0,0,3,0.1,0,0,0,39,16,1370,1350,0.0,1.5,0.0,0.5,0.05,0.5,1.5,0.0,0.0,0.5,39.0,16,3
32763,0,1,3,1,1.0,0,3,0.1,0,0,0,39,1,1030,1045,0.0,1.0,0.0,0.33,0.03,0.33,1.0,0.0,0.0,0.33,39.33,16,20
32764,0,1,3,1,1.0,0,3,0.1,0,0,0,39,18,1210,1180,0.0,0.75,0.0,0.25,0.02,0.25,0.75,0.0,0.0,0.25,39.25,16,9
32765,0,1,3,1,1.0,0,3,0.1,0,0,0,39,24,1190,1150,0.0,0.6,0.0,0.2,0.02,0.2,0.6,0.0,0.0,0.2,39.2,16,8
32766,0,1,3,1,1.0,0,3,0.1,0,0,0,39,12,1100,1125,0.0,0.6,0.0,0.2,0.02,0.2,0.6,0.0,0.0,0.2,39.4,16,15
33096,2,2,90,1,12.0,0,12,1.2,0,0,0,39,3,1045,1050,0.0,2.4,0.0,0.2,0.24,2.4,18.0,0.0,0.2,0.4,39.6,4,19
33097,0,2,90,1,12.0,0,12,1.2,0,0,0,39,7,1210,1180,0.0,2.4,0.0,0.2,0.24,2.4,18.0,0.0,0.2,0.4,39.6,4,9
33098,0,2,90,1,12.0,0,12,1.2,0,0,0,39,18,1040,1020,0.0,2.4,0.0,0.2,0.24,2.4,18.0,0.0,0.2,0.4,39.4,4,20
33099,0,2,90,1,12.0,0,12,1.2,0,0,0,39,11,1065,1050,0.0,2.4,0.0,0.2,0.24,2.4,18.0,0.0,0.2,0.4,39.6,4,17
33100,0,2,90,1,12.0,0,12,1.2,0,0,0,39,14,1100,1055,0.0,2.4,0.0,0.2,0.24,2.4,18.0,0.0,0.2,0.4,39.8,4,12
33506,1,68,1796,27,321.4,7,310,32.2,6,0,1,44,9,1105,1050,0.0,13.0,0.0,4.0,2.2,22.2,90.0,0.0,3.0,1.0,45.0,16,6
33507,0,68,1796,27,321.4,7,310,32.2,6,0,1,44,21,1350,1370,0.0,6.5,0.0,2.0,1.1,11.1,45.0,0.0,1.5,0.5,45.0,16,2
33508,1,68,1796,27,321.4,7,310,32.2,6,0,1,44,12,1100,1125,0.0,7.33,0.0,2.33,1.13,11.27,60.0,0.0,1.33,0.67,45.33,16,15
33509,6,68,1796,27,321.4,7,310,32.2,6,0,1,44,26,1050,1050,0.0,10.25,0.25,1.75,0.92,9.15,67.5,0.0,1.0,2.0,45.0,16,19
33510,9,68,1796,27,321.4,7,310,32.2,6,0,1,44,8,1100,1125,0.4,15.2,0.4,1.4,1.5,14.92,72.0,0.0,1.8,3.4,45.0,16,17
33511,2,68,1796,27,321.4,7,310,32.2,6,0,1,44,16,1370,1350,0.4,14.0,0.4,0.8,1.06,10.48,71.2,0.0,1.2,3.6,45.4,16,3
33512,9,68,1796,27,321.4,7,310,32.2,6,0,1,44,7,1125,1130,0.8,19.2,0.6,0.8,1.5,14.88,89.2,0.0,1.8,5.4,45.4,16,7
33513,2,68,1796,27,321.4,7,310,32.2,6,0,1,44,3,1100,1110,0.8,19.0,0.6,0.4,1.3,12.92,89.2,0.0,1.6,5.6,45.2,16,13
33514,0,68,1796,27,321.4,7,310,32.2,6,0,1,44,22,1040,1020,0.8,15.2,0.4,0.4,1.24,12.36,71.2,0.0,1.6,4.4,45.4,16,20
33515,3,68,1796,27,321.4,7,310,32.2,6,0,1,44,25,1095,1125,0.4,11.4,0.2,0.6,0.98,9.84,71.2,0.0,1.2,3.2,45.4,16,15
33516,0,68,1796,27,321.4,7,310,32.2,6,0,1,44,23,1100,1070,0.4,10.0,0.2,0.4,0.98,9.84,54.0,0.0,1.2,2.8,45.0,16,9
33517,1,68,1796,27,321.4,7,310,32.2,6,0,1,44,5,1160,1140,0.0,7.4,0.0,1.0,0.86,8.6,54.0,0.0,1.0,1.2,45.0,16,4
33518,6,68,1796,27,321.4,7,310,32.2,6,0,1,44,1,1030,1045,0.0,10.2,0.2,0.8,0.96,9.72,54.0,0.0,1.2,2.0,45.0,16,20
33519,1,68,1796,27,321.4,7,310,32.2,6,0,1,44,4,1100,1105,0.0,12.6,0.2,1.2,1.26,12.8,72.0,0.0,1.6,2.2,45.0,16,14
33520,2,68,1796,27,321.4,7,310,32.2,6,0,1,44,28,1090,1060,0.0,11.4,0.2,1.2,0.98,10.0,72.0,0.0,1.2,2.0,44.8,16,18
33521,2,68,1796,27,321.4,7,310,32.2,6,0,1,44,14,1100,1055,0.0,14.0,0.2,1.4,1.3,13.12,90.0,0.0,1.6,2.4,45.2,16,10
33522,2,68,1796,27,321.4,7,310,32.2,6,0,1,44,2,1365,1370,0.0,13.0,0.2,1.0,1.08,10.92,90.0,0.0,1.6,2.6,45.2,16,2
33523,9,68,1796,27,321.4,7,310,32.2,6,0,1,44,11,1045,1050,0.4,14.4,0.2,1.0,1.66,16.6,90.0,0.0,2.4,3.2,45.4,16,19
33524,0,68,1796,27,321.4,7,310,32.2,6,0,1,44,18,1210,1180,0.4,12.0,0.2,0.6,1.36,13.52,72.0,0.0,2.0,3.0,45.6,16,9
33525,0,68,1796,27,321.4,7,310,32.2,6,0,1,44,19,1125,1080,0.4,10.0,0.2,0.4,1.14,11.24,54.0,0.0,1.8,2.6,45.8,16,8
33526,0,68,1796,27,321.4,7,310,32.2,6,0,1,44,17,1355,1350,0.4,7.4,0.2,0.2,0.82,8.12,36.0,0.0,1.4,2.2,45.6,16,1
33527,0,68,1796,27,321.4,7,310,32.2,6,0,1,44,20,1100,1055,0.4,5.8,0.2,0.0,0.72,7.16,18.0,0.0,1.0,1.8,45.6,16,13
33528,1,68,1796,27,321.4,7,310,32.2,6,0,1,44,15,1100,1130,0.0,2.4,0.0,0.4,0.36,3.52,18.0,0.0,0.4,0.2,45.8,16,12
33529,1,68,1796,27,321.4,7,310,32.2,6,0,1,44,27,1170,1110,0.0,4.6,0.0,1.0,0.9,9.0,36.0,0.0,1.0,0.4,45.4,16,5
33530,8,68,1796,27,321.4,7,310,32.2,6,0,1,44,6,1175,1180,0.2,10.6,0.2,1.0,1.68,16.8,54.0,0.0,2.0,2.0,45.4,16,11
33531,0,68,1796,27,321.4,7,310,32.2,6,0,1,44,24,1190,1150,0.2,10.6,0.2,1.0,1.68,16.8,54.0,0.0,2.0,2.0,45.2,16,8
33532,1,68,1796,27,321.4,7,310,32.2,6,0,1,44,10,1230,1150,0.2,12.2,0.2,1.4,1.72,17.16,72.0,0.0,2.0,2.2,45.2,16,5
33533,1,68,1796,27,321.4,7,310,32.2,6,0,1,44,13,1055,1020,0.2,11.6,0.2,1.4,1.48,14.76,72.0,0.0,1.8,2.2,45.2,16,18
34193,2,14,296,3,89.6,2,66,9.0,1,0,0,37,21,1105,1050,0.0,2.6,0.0,0.4,0.48,4.88,16.4,0.0,0.6,0.4,38.2,1,6
34194,0,14,296,3,89.6,2,66,9.0,1,0,0,37,8,1350,1370,0.0,2.6,0.0,0.4,0.48,4.88,16.4,0.0,0.6,0.4,38.2,1,2
34195,0,14,296,3,89.6,2,66,9.0,1,0,0,37,15,1160,1140,0.0,2.6,0.0,0.4,0.48,4.88,16.4,0.0,0.6,0.4,38.6,1,4
34196,0,14,296,3,89.6,2,66,9.0,1,0,0,37,25,1100,1055,0.0,2.6,0.0,0.4,0.48,4.88,16.4,0.0,0.6,0.4,38.4,1,13
34197,0,14,296,3,89.6,2,66,9.0,1,0,0,37,11,1100,1130,0.0,2.6,0.0,0.4,0.48,4.88,16.4,0.0,0.6,0.4,38.4,1,12
34201,2,14,296,3,89.6,2,66,9.0,1,0,0,37,28,1240,1210,0.0,2.4,0.0,0.0,0.54,5.36,6.8,0.0,0.8,0.4,38.4,1,3
34202,0,14,296,3,89.6,2,66,9.0,1,0,0,37,23,1100,1110,0.0,2.4,0.0,0.0,0.54,5.36,6.8,0.0,0.8,0.4,38.2,1,13
34203,0,14,296,3,89.6,2,66,9.0,1,0,0,37,12,1125,1080,0.0,2.4,0.0,0.0,0.54,5.36,6.8,0.0,0.8,0.4,38.2,1,8
34204,2,14,296,3,89.6,2,66,9.0,1,0,0,37,9,1210,1180,0.0,4.8,0.0,0.2,0.92,9.08,24.8,0.0,1.2,0.8,38.6,1,9
34205,0,14,296,3,89.6,2,66,9.0,1,0,0,37,7,1100,1085,0.0,4.8,0.0,0.2,0.92,9.08,24.8,0.0,1.2,0.8,38.4,1,14
34206,0,14,296,3,89.6,2,66,9.0,1,0,0,37,5,1100,1055,0.0,2.4,0.0,0.2,0.38,3.72,18.0,0.0,0.4,0.4,38.8,1,10
34207,0,14,296,3,89.6,2,66,9.0,1,0,0,37,27,1220,1210,0.0,2.4,0.0,0.2,0.38,3.72,18.0,0.0,0.4,0.4,38.6,1,7
34208,0,14,296,3,89.6,2,66,9.0,1,0,0,37,3,1030,1045,0.0,2.4,0.0,0.2,0.38,3.72,18.0,0.0,0.4,0.4,38.8,1,20
34625,6,71,2700,62,890.2,3,513,88.8,2,0,3,45,22,1210,1180,0.0,25.0,1.0,0.0,1.9,19.2,90.0,0.0,2.0,6.0,45.0,18,9
34626,5,71,2700,62,890.2,3,513,88.8,2,0,3,45,21,1045,1050,0.5,24.0,0.5,0.5,3.15,31.8,90.0,0.0,4.5,5.5,45.0,18,19
34627,4,71,2700,62,890.2,3,513,88.8,2,0,3,45,25,1220,1210,0.67,24.33,0.33,1.0,3.4,34.27,90.0,0.0,5.0,5.0,45.0,18,7
34628,3,71,2700,62,890.2,3,513,88.8,2,0,3,45,8,1230,1150,0.5,21.5,0.25,1.0,3.25,32.8,90.0,0.0,4.5,4.5,45.0,18,5
34629,3,71,2700,62,890.2,3,513,88.8,2,0,3,45,1,1100,1070,0.6,22.4,0.2,1.6,2.6,26.24,90.0,0.0,5.2,4.2,45.0,18,9
34630,1,71,2700,62,890.2,3,513,88.8,2,0,3,45,15,1365,1370,0.6,21.2,0.0,2.4,3.12,31.48,90.0,0.0,5.8,3.2,45.0,18,2
34631,3,71,2700,62,890.2,3,513,88.8,2,0,3,45,28,1070,1080,0.4,19.6,0.0,2.4,2.68,27.04,90.0,0.0,5.0,2.8,45.0,18,16
34632,3,71,2700,62,890.2,3,513,88.8,2,0,3,45,25,1240,1210,0.2,19.8,0.0,2.8,3.34,33.64,90.0,0.0,5.6,2.6,45.0,18,3
34633,1,71,2700,62,890.2,3,513,88.8,2,0,3,45,28,1100,1055,0.2,21.0,0.0,3.4,3.5,35.08,90.0,0.0,6.0,2.2,45.0,18,12
