,id,name,position,predicted_total_points,cost,team
217,229,Hughes,MID,0.9097194,49,8
218,527,Cornet,MID,0.9037778,52,19
219,393,Mengi,DEF,0.9014148,39,12
223,259,McNeil,MID,0.8768464,54,9
224,78,O.Dango,MID,0.84474367,47,3
226,271,Diop,DEF,0.82658833,44,10
227,385,Henderson,GK,0.81243384,44,8
229,513,Sarr,MID,0.8037461,44,18
231,261,Onana,MID,0.79176784,47,9
232,58,Tielemans,MID,0.78476405,56,2
235,661,Harrison,MID,0.7782398,55,9
236,606,Igor,DEF,0.7714895,43,5
237,285,Tete,DEF,0.77076477,44,10
238,423,J.Murphy,MID,0.7702128,48,15
239,490,Osula,FWD,0.7666499,43,17
240,242,Ward,DEF,0.7632352,45,8
241,320,Clark,MID,0.762254,48,12
243,282,Reed,MID,0.7299911,44,10
245,376,Casemiro,MID,0.6940357,53,14
246,468,Wood,FWD,0.68225163,48,16
247,582,Mpanzu,MID,0.6683928,46,12
250,676,Mavropanos,DEF,0.64475024,45,19
262,576,Robinson,DEF,0.59973025,43,17
263,9,Jorginho,MID,0.59617877,53,1
264,523,Antonio,FWD,0.57975847,57,19
265,240,Schlupp,MID,0.5786215,48,8
267,307,Robertson,DEF,0.55190265,64,11
268,70,Kelly,DEF,0.53734714,45,3
270,644,Scott,MID,0.50576496,49,3
271,643,Aarons,DEF,0.49632096,44,3
272,604,Aina,DEF,0.49539208,45,16
274,488,Norwood,MID,0.44588047,48,17
275,139,Lamptey,DEF,0.44080627,39,5
276,281,Ream,DEF,0.43322307,45,10
277,193,Broja,FWD,0.43139452,49,10
278,300,Jones,MID,0.42958117,49,11
280,168,Foster,FWD,0.4178409,47,6
282,674,Delcroix,DEF,0.38123208,40,6
285,709,Amrabat,MID,0.34572172,50,14
287,354,Grealish,MID,0.32621807,72,13
290,592,Larouci,DEF,0.3006412,43,17
291,107,Lewis-Potter,MID,0.27958634,47,4
292,108,Mbeumo,MID,0.27593693,67,4
293,701,Ghoddos,MID,0.26646432,45,4
294,492,Bentancur,MID,0.260885,54,18
296,566,Matheus N.,MID,0.25793275,47,13
298,578,Nelson,MID,0.22889365,48,1
299,668,Endo,MID,0.22843453,54,11
300,254,Gana,MID,0.21884918,48,9
301,138,Lallana,MID,0.20706649,49,5
306,364,Phillips,MID,0.15665302,47,19
307,708,Gravenberch,MID,0.15602805,50,11
313,775,Brereton Díaz,MID,0.008243363,50,17
315,115,Schade,MID,-0.029641576,52,4
325,31,Zinchenko,DEF,-0.3457532,50,1
326,445,Felipe,DEF,-0.49508512,44,16
327,476,Bogle,DEF,-0.70658135,45,17
